,date,close
3,2013-05-01,116.99
34,2013-06-01,129.3
64,2013-07-01,88.05
95,2013-08-01,104.0
126,2013-09-01,138.34
156,2013-10-01,132.18
187,2013-11-01,206.18
217,2013-12-01,955.85
248,2014-01-01,771.4
279,2014-02-01,832.58
307,2014-03-01,565.61
338,2014-04-01,478.38
368,2014-05-01,457.76
399,2014-06-01,630.23
429,2014-07-01,640.81
460,2014-08-01,594.92
491,2014-09-01,474.88
521,2014-10-01,383.61
552,2014-11-01,325.75
582,2014-12-01,379.24
613,2015-01-01,314.25
644,2015-02-01,226.97
672,2015-03-01,260.2
703,2015-04-01,247.27
733,2015-05-01,232.08
764,2015-06-01,222.93
794,2015-07-01,258.62
825,2015-08-01,281.6
856,2015-09-01,228.12
886,2015-10-01,237.55
917,2015-11-01,325.43
947,2015-12-01,362.49
978,2016-01-01,434.33
1009,2016-02-01,373.06
1038,2016-03-01,435.12
1069,2016-04-01,417.96
1099,2016-05-01,451.88
1130,2016-06-01,536.92
1160,2016-07-01,676.3
1191,2016-08-01,606.27
1222,2016-09-01,572.3
1252,2016-10-01,613.98
1283,2016-11-01,729.79
1313,2016-12-01,756.77
1344,2017-01-01,998.33
1375,2017-02-01,989.02
1403,2017-03-01,1222.5
1434,2017-04-01,1080.5
1464,2017-05-01,1421.6
1495,2017-06-01,2407.88
1525,2017-07-01,2434.55
1556,2017-08-01,2718.26
1587,2017-09-01,4892.01
1617,2017-10-01,4403.74
1648,2017-11-01,6767.31
1678,2017-12-01,10975.6
1709,2018-01-01,13657.2
1740,2018-02-01,9170.54
1768,2018-03-01,10951.0
1799,2018-04-01,6844.23
1829,2018-05-01,9119.01
1860,2018-06-01,7541.45
1890,2018-07-01,6385.82
1921,2018-08-01,7624.91
1952,2018-09-01,7193.25
1982,2018-10-01,6589.62
2013,2018-11-01,6377.78
2043,2018-12-01,4214.67
2074,2019-01-01,3843.52
2105,2019-02-01,3487.95
2133,2019-03-01,3859.58
2164,2019-04-01,4158.18
2194,2019-05-01,5402.7
2225,2019-06-01,8564.02
2255,2019-07-01,10583.13
2286,2019-08-01,10399.67
2317,2019-09-01,9757.97
2347,2019-10-01,8343.28
