,date,close,open,high,low,day
0,2013-04-29,1467.4,1462.7,1475.5,1462.3,0
1,2013-04-30,1472.2,1471.1,1476.6,1461.0,1
2,2013-05-01,1446.3,1475.8,1477.1,1440.0,2
3,2013-05-02,1467.7,1459.0,1471.2,1453.5,3
4,2013-05-03,1464.3,1465.5,1487.1,1461.4,4
5,2013-05-06,1468.1,1468.1,1477.2,1466.8,0
6,2013-05-07,1449.0,1462.0,1466.2,1441.2,1
7,2013-05-08,1473.9,1455.5,1474.7,1450.7,2
8,2013-05-09,1468.8,1471.2,1473.4,1453.0,3
9,2013-05-10,1436.8,1455.6,1459.3,1423.0,4
10,2013-05-13,1434.5,1440.0,1440.6,1427.8,0
11,2013-05-14,1424.7,1430.1,1444.4,1422.0,1
12,2013-05-15,1396.5,1425.7,1425.7,1390.1,2
13,2013-05-16,1387.1,1390.4,1395.1,1370.6,3
14,2013-05-17,1364.9,1386.7,1391.1,1359.1,4
15,2013-05-20,1384.3,1342.9,1391.9,1342.9,0
16,2013-05-21,1377.8,1386.5,1392.3,1358.5,1
17,2013-05-22,1367.6,1387.2,1395.7,1364.5,2
18,2013-05-23,1392.0,1380.6,1394.8,1377.8,3
19,2013-05-24,1386.8,1386.8,1386.8,1386.8,4
20,2013-05-27,1395.95,1385.95,1396.15,1384.15,0
21,2013-05-28,1379.1,1380.8,1392.5,1379.8,1
22,2013-05-29,1391.3,1391.3,1391.3,1391.3,2
23,2013-05-30,1411.5,1392.1,1417.5,1388.3,3
24,2013-05-31,1392.6,1412.4,1421.1,1384.2,4
25,2013-06-03,1411.7,1389.1,1416.3,1388.3,0
26,2013-06-04,1397.1,1410.9,1414.1,1389.0,1
27,2013-06-05,1398.4,1397.5,1410.0,1395.6,2
28,2013-06-06,1415.7,1401.7,1422.7,1391.6,3
29,2013-06-07,1383.0,1411.5,1416.4,1377.9,4
30,2013-06-10,1386.2,1378.8,1386.9,1375.6,0
31,2013-06-11,1377.0,1384.2,1384.4,1366.0,1
32,2013-06-12,1391.8,1375.0,1393.5,1373.7,2
33,2013-06-13,1377.6,1386.8,1390.9,1373.4,3
34,2013-06-14,1387.3,1383.9,1389.6,1377.8,4
35,2013-06-17,1382.8,1390.3,1390.5,1380.0,0
36,2013-06-18,1366.6,1383.1,1383.5,1363.0,1
37,2013-06-19,1373.6,1368.1,1372.7,1348.1,2
38,2013-06-20,1285.9,1348.1,1348.1,1275.4,3
39,2013-06-21,1291.6,1280.4,1300.0,1268.9,4
40,2013-06-24,1276.8,1297.3,1297.3,1275.7,0
41,2013-06-25,1274.8,1281.3,1286.0,1273.2,1
42,2013-06-26,1229.6,1273.9,1273.9,1228.8,2
43,2013-06-27,1360.2,1360.2,1360.2,1360.2,3
44,2013-06-28,1374.9,1374.9,1374.9,1374.9,4
45,2013-07-01,1407.8,1407.8,1407.8,1407.8,0
46,2013-07-02,1393.9,1393.9,1393.9,1393.9,1
47,2013-07-03,1403.9,1403.9,1403.9,1403.9,2
48,2013-07-04,1247.05,1254.55,1256.15,1244.45,3
49,2013-07-05,1374.2,1374.2,1374.2,1374.2,4
50,2013-07-08,1394.3,1394.3,1394.3,1394.3,0
51,2013-07-09,1403.3,1403.3,1403.3,1403.3,1
52,2013-07-10,1405.7,1405.7,1405.7,1405.7,2
53,2013-07-11,1435.4,1435.4,1435.4,1435.4,3
54,2013-07-12,1433.6,1433.6,1433.6,1433.6,4
55,2013-07-15,1437.9,1437.9,1437.9,1437.9,0
56,2013-07-16,1442.7,1442.7,1442.7,1442.7,1
57,2013-07-17,1426.3,1426.3,1426.3,1426.3,2
58,2013-07-18,1433.1,1433.1,1433.1,1433.1,3
59,2013-07-19,1440.3,1440.3,1440.3,1440.3,4
60,2013-07-22,1485.2,1485.2,1485.2,1485.2,0
