,date,monthly_returns
3,2013-05-01,
34,2013-06-01,
64,2013-07-01,
95,2013-08-01,
126,2013-09-01,
156,2013-10-01,
187,2013-11-01,
217,2013-12-01,
248,2014-01-01,
279,2014-02-01,
307,2014-03-01,
338,2014-04-01,
368,2014-05-01,
399,2014-06-01,
429,2014-07-01,
460,2014-08-01,
491,2014-09-01,
521,2014-10-01,
552,2014-11-01,
582,2014-12-01,
613,2015-01-01,
644,2015-02-01,
672,2015-03-01,
703,2015-04-01,
733,2015-05-01,
764,2015-06-01,
794,2015-07-01,
825,2015-08-01,
856,2015-09-01,
886,2015-10-01,-0.48872962962962974
917,2015-11-01,0.5357533522163387
947,2015-12-01,-0.17471698113207546
978,2016-01-01,0.08370370370370361
1009,2016-02-01,1.3311646118663663
1038,2016-03-01,2.4615384615384617
1069,2016-04-01,0.5241830065359476
1099,2016-05-01,-0.2409948542024014
1130,2016-06-01,0.5819209039548023
1160,2016-07-01,-0.12857142857142867
1191,2016-08-01,-0.1032786885245901
1222,2016-09-01,0.09597806215722127
1252,2016-10-01,0.09841534612176805
1283,2016-11-01,-0.1822323462414579
1313,2016-12-01,-0.21541318477251625
1344,2017-01-01,-0.03313609467455614
1375,2017-02-01,0.31334149326805383
1403,2017-03-01,0.6169617893755825
1434,2017-04-01,1.9221902017291064
1464,2017-05-01,0.5049309664694279
1495,2017-06-01,1.9127129750982963
1525,2017-07-01,0.23560115190784736
1556,2017-08-01,-0.1741806263656227
1587,2017-09-01,0.7098381620143757
1617,2017-10-01,-0.22025068344767118
1648,2017-11-01,-0.03522524310379038
1678,2017-12-01,0.5994377592649731
1709,2018-01-01,0.656106657521327
1740,2018-02-01,0.341879788776144
1768,2018-03-01,-0.15874960213736622
1799,2018-04-01,-0.5647672552166934
1829,2018-05-01,0.7744790706251152
1860,2018-06-01,-0.13890827036415743
1890,2018-07-01,-0.21743328046341626
1921,2018-08-01,-0.07307455058160028
1952,2018-09-01,-0.2980629827688652
1982,2018-10-01,-0.21862937631204704
2013,2018-11-01,-0.1382328725570915
2043,2018-12-01,-0.40342937597425454
2074,2019-01-01,0.18695212407282535
2105,2019-02-01,-0.23583297827013205
2133,2019-03-01,0.26791190409813215
2164,2019-04-01,0.039504544121958585
2194,2019-05-01,0.13389268842981017
2225,2019-06-01,0.6502300708867057
2255,2019-07-01,0.10644711556577113
2286,2019-08-01,-0.2582413840076283
2317,2019-09-01,-0.21201965015380375
2347,2019-10-01,0.03326924197401393
