,dt,x
0,2013-04-28,1467.4
1,2013-04-29,1467.4
2,2013-04-30,1472.2
3,2013-05-01,1446.3
4,2013-05-02,1467.7
5,2013-05-03,1464.3
6,2013-05-04,1464.3
7,2013-05-05,1464.3
8,2013-05-06,1468.1
9,2013-05-07,1449.0
10,2013-05-08,1473.9
11,2013-05-09,1468.8
12,2013-05-10,1436.8
13,2013-05-11,1436.8
14,2013-05-12,1436.8
15,2013-05-13,1434.5
16,2013-05-14,1424.7
17,2013-05-15,1396.5
18,2013-05-16,1387.1
19,2013-05-17,1364.9
20,2013-05-18,1364.9
21,2013-05-19,1364.9
22,2013-05-20,1384.3
23,2013-05-21,1377.8
24,2013-05-22,1367.6
25,2013-05-23,1392.0
26,2013-05-24,1386.8
27,2013-05-25,1386.8
28,2013-05-26,1386.8
29,2013-05-27,1395.95
30,2013-05-28,1379.1
31,2013-05-29,1391.3
32,2013-05-30,1411.5
33,2013-05-31,1392.6
34,2013-06-01,1392.6
35,2013-06-02,1392.6
36,2013-06-03,1411.7
37,2013-06-04,1397.1
38,2013-06-05,1398.4
39,2013-06-06,1415.7
40,2013-06-07,1383.0
41,2013-06-08,1383.0
42,2013-06-09,1383.0
43,2013-06-10,1386.2
44,2013-06-11,1377.0
45,2013-06-12,1391.8
46,2013-06-13,1377.6
47,2013-06-14,1387.3
48,2013-06-15,1387.3
49,2013-06-16,1387.3
50,2013-06-17,1382.8
51,2013-06-18,1366.6
52,2013-06-19,1373.6
53,2013-06-20,1285.9
54,2013-06-21,1291.6
55,2013-06-22,1291.6
56,2013-06-23,1291.6
57,2013-06-24,1276.8
58,2013-06-25,1274.8
59,2013-06-26,1229.6
60,2013-06-27,1360.2
61,2013-06-28,1374.9
62,2013-06-29,1374.9
63,2013-06-30,1374.9
64,2013-07-01,1407.8
65,2013-07-02,1393.9
66,2013-07-03,1403.9
67,2013-07-04,1247.05
68,2013-07-05,1374.2
69,2013-07-06,1374.2
70,2013-07-07,1374.2
71,2013-07-08,1394.3
72,2013-07-09,1403.3
73,2013-07-10,1405.7
74,2013-07-11,1435.4
75,2013-07-12,1433.6
76,2013-07-13,1433.6
77,2013-07-14,1433.6
78,2013-07-15,1437.9
79,2013-07-16,1442.7
80,2013-07-17,1426.3
81,2013-07-18,1433.1
82,2013-07-19,1440.3
83,2013-07-20,1440.3
84,2013-07-21,1440.3
85,2013-07-22,1485.2
86,2013-07-23,1483.4
87,2013-07-24,1472.0
88,2013-07-25,1483.4
89,2013-07-26,1471.7
90,2013-07-27,1471.7
91,2013-07-28,1471.7
92,2013-07-29,1482.2
93,2013-07-30,1476.3
94,2013-07-31,1468.6
95,2013-08-01,1468.5
96,2013-08-02,1463.0
97,2013-08-03,1463.0
98,2013-08-04,1463.0
99,2013-08-05,1456.4
100,2013-08-06,1435.4
101,2013-08-07,1437.3
102,2013-08-08,1462.2
103,2013-08-09,1465.4
104,2013-08-10,1465.4
105,2013-08-11,1465.4
106,2013-08-12,1488.2
107,2013-08-13,1480.0
108,2013-08-14,1492.0
109,2013-08-15,1523.1
110,2013-08-16,1539.5
111,2013-08-17,1539.5
112,2013-08-18,1539.5
113,2013-08-19,1535.3
114,2013-08-20,1540.5
115,2013-08-21,1540.3
116,2013-08-22,1550.3
117,2013-08-23,1575.6
118,2013-08-24,1575.6
119,2013-08-25,1575.6
120,2013-08-26,1570.7
121,2013-08-27,1596.0
122,2013-08-28,1597.0
123,2013-08-29,1590.3
124,2013-08-30,1573.0
125,2013-08-31,1573.0
126,2013-09-01,1573.0
127,2013-09-02,1393.7
128,2013-09-03,1592.0
129,2013-09-04,1570.3
130,2013-09-05,1559.2
131,2013-09-06,1571.4
132,2013-09-07,1571.4
133,2013-09-08,1571.4
134,2013-09-09,1568.5
135,2013-09-10,1547.1
136,2013-09-11,1546.8
137,2013-09-12,1507.8
138,2013-09-13,1485.7
139,2013-09-14,1485.7
140,2013-09-15,1485.7
141,2013-09-16,1490.1
142,2013-09-17,1482.3
143,2013-09-18,1482.3
144,2013-09-19,1541.9
145,2013-09-20,1497.7
146,2013-09-21,1497.7
147,2013-09-22,1497.7
148,2013-09-23,1490.4
149,2013-09-24,1473.9
150,2013-09-25,1494.4
151,2013-09-26,1483.4
152,2013-09-27,1497.3
153,2013-09-28,1497.3
154,2013-09-29,1497.3
155,2013-09-30,1485.4
156,2013-10-01,1442.3
157,2013-10-02,1477.1
158,2013-10-03,1472.0
159,2013-10-04,1466.1
160,2013-10-05,1466.1
161,2013-10-06,1466.1
162,2013-10-07,1480.4
163,2013-10-08,1480.4
164,2013-10-09,1461.6
165,2013-10-10,1451.9
166,2013-10-11,1419.9
167,2013-10-12,1419.9
168,2013-10-13,1419.9
169,2013-10-14,1429.3
170,2013-10-15,1425.2
171,2013-10-16,1434.0
172,2013-10-17,1473.5
173,2013-10-18,1464.8
174,2013-10-19,1464.8
175,2013-10-20,1464.8
176,2013-10-21,1462.9
177,2013-10-22,1484.3
178,2013-10-23,1469.5
179,2013-10-24,1485.9
180,2013-10-25,1486.2
181,2013-10-26,1486.2
182,2013-10-27,1486.2
183,2013-10-28,1485.5
184,2013-10-29,1478.5
185,2013-10-30,1480.4
186,2013-10-31,1453.9
187,2013-11-01,1444.7
188,2013-11-02,1444.7
189,2013-11-03,1444.7
190,2013-11-04,1446.4
191,2013-11-05,1442.0
192,2013-11-06,1449.5
193,2013-11-07,1438.3
194,2013-11-08,1419.2
195,2013-11-09,1419.2
196,2013-11-10,1419.2
197,2013-11-11,1415.2
198,2013-11-12,1406.7
199,2013-11-13,1401.3
200,2013-11-14,1415.9
201,2013-11-15,1416.9
202,2013-11-16,1416.9
203,2013-11-17,1416.9
204,2013-11-18,1400.0
205,2013-11-19,1401.1
206,2013-11-20,1385.4
207,2013-11-21,1369.1
208,2013-11-22,1370.3
209,2013-11-23,1370.3
210,2013-11-24,1370.3
211,2013-11-25,1366.8
212,2013-11-26,1366.1
213,2013-11-27,1364.2
214,2013-11-28,1243.8
215,2013-11-29,1377.2
216,2013-11-30,1377.2
217,2013-12-01,1377.2
218,2013-12-02,1350.6
219,2013-12-03,1348.0
220,2013-12-04,1376.3
221,2013-12-05,1360.8
222,2013-12-06,1358.2
223,2013-12-07,1358.2
224,2013-12-08,1358.2
225,2013-12-09,1362.8
226,2013-12-10,1389.7
227,2013-12-11,1386.3
228,2013-12-12,1355.4
229,2013-12-13,1365.7
230,2013-12-14,1365.7
231,2013-12-15,1365.7
232,2013-12-16,1375.9
233,2013-12-17,1357.7
234,2013-12-18,1364.5
235,2013-12-19,1324.3
236,2013-12-20,1336.3
237,2013-12-21,1336.3
238,2013-12-22,1336.3
239,2013-12-23,1330.6
240,2013-12-24,1339.4
241,2013-12-25,1339.4
242,2013-12-26,1348.8
243,2013-12-27,1350.4
244,2013-12-28,1350.4
245,2013-12-29,1350.4
246,2013-12-30,1339.2
247,2013-12-31,1367.4
248,2014-01-01,1205.4
249,2014-01-02,1391.7
250,2014-01-03,1405.5
251,2014-01-04,1405.5
252,2014-01-05,1405.5
253,2014-01-06,1405.0
254,2014-01-07,1395.5
255,2014-01-08,1392.6
256,2014-01-09,1397.9
257,2014-01-10,1413.4
258,2014-01-11,1413.4
259,2014-01-12,1413.4
260,2014-01-13,1416.0
261,2014-01-14,1411.8
262,2014-01-15,1405.9
263,2014-01-16,1405.7
264,2014-01-17,1417.1
265,2014-01-18,1417.1
266,2014-01-19,1417.1
267,2014-01-20,1255.1
268,2014-01-21,1405.1
269,2014-01-22,1403.6
270,2014-01-23,1426.1
271,2014-01-24,1426.0
272,2014-01-25,1426.0
273,2014-01-26,1426.0
274,2014-01-27,1425.1
275,2014-01-28,1412.0
276,2014-01-29,1422.2
277,2014-01-30,1402.8
278,2014-01-31,1398.9
279,2014-02-01,1398.9
280,2014-02-02,1398.9
281,2014-02-03,1417.1
282,2014-02-04,1407.3
283,2014-02-05,1413.0
284,2014-02-06,1413.3
285,2014-02-07,1415.7
286,2014-02-08,1415.7
287,2014-02-09,1415.7
288,2014-02-10,1427.5
289,2014-02-11,1443.6
290,2014-02-12,1451.1
291,2014-02-13,1451.4
292,2014-02-14,1470.8
293,2014-02-15,1470.8
294,2014-02-16,1470.8
295,2014-02-17,1328.5
296,2014-02-18,1473.2
297,2014-02-19,1467.7
298,2014-02-20,1467.8
299,2014-02-21,1474.4
300,2014-02-22,1474.4
301,2014-02-23,1474.4
302,2014-02-24,1491.0
303,2014-02-25,1493.8
304,2014-02-26,1478.4
305,2014-02-27,1481.3
306,2014-02-28,1473.0
307,2014-03-01,1473.0
308,2014-03-02,1473.0
309,2014-03-03,1500.0
310,2014-03-04,1488.7
311,2014-03-05,1491.1
312,2014-03-06,1504.3
313,2014-03-07,1494.6
314,2014-03-08,1494.6
315,2014-03-09,1494.6
316,2014-03-10,1497.2
317,2014-03-11,1502.2
318,2014-03-12,1525.2
319,2014-03-13,1526.0
320,2014-03-14,1532.4
321,2014-03-15,1532.4
322,2014-03-16,1532.4
323,2014-03-17,1525.6
324,2014-03-18,1511.6
325,2014-03-19,1493.0
326,2014-03-20,1488.7
327,2014-03-21,1493.5
328,2014-03-22,1493.5
329,2014-03-23,1493.5
330,2014-03-24,1468.5
331,2014-03-25,1466.4
332,2014-03-26,1456.1
333,2014-03-27,1447.8
334,2014-03-28,1445.3
335,2014-03-29,1445.3
336,2014-03-30,1445.3
337,2014-03-31,1433.8
338,2014-04-01,1430.0
339,2014-04-02,1442.5
340,2014-04-03,1435.1
341,2014-04-04,1452.7
342,2014-04-05,1452.7
343,2014-04-06,1452.7
344,2014-04-07,1442.7
345,2014-04-08,1452.3
346,2014-04-09,1451.1
347,2014-04-10,1461.7
348,2014-04-11,1459.7
349,2014-04-12,1459.7
350,2014-04-13,1459.7
351,2014-04-14,1469.3
352,2014-04-15,1442.0
353,2014-04-16,1446.0
354,2014-04-17,1437.5
355,2014-04-18,1437.5
356,2014-04-19,1437.5
357,2014-04-20,1437.5
358,2014-04-21,1432.4
359,2014-04-22,1425.4
360,2014-04-23,1424.0
361,2014-04-24,1429.7
362,2014-04-25,1438.9
363,2014-04-26,1438.9
364,2014-04-27,1438.9
365,2014-04-28,1435.7
366,2014-04-29,1432.5
367,2014-04-30,1431.8
368,2014-05-01,1417.5
369,2014-05-02,1437.5
370,2014-05-03,1437.5
371,2014-05-04,1437.5
372,2014-05-05,1444.4
373,2014-05-06,1444.0
374,2014-05-07,1423.3
375,2014-05-08,1421.7
376,2014-05-09,1421.8
377,2014-05-10,1421.8
378,2014-05-11,1421.8
379,2014-05-12,1430.6
380,2014-05-13,1427.5
381,2014-05-14,1435.3
382,2014-05-15,1422.0
383,2014-05-16,1422.3
384,2014-05-17,1422.3
385,2014-05-18,1422.3
386,2014-05-19,1421.9
387,2014-05-20,1422.5
388,2014-05-21,1416.1
389,2014-05-22,1422.7
390,2014-05-23,1419.1
391,2014-05-24,1419.1
392,2014-05-25,1291.7
393,2014-05-26,1292.5
394,2014-05-27,1392.9
395,2014-05-28,1385.4
396,2014-05-29,1379.5
397,2014-05-30,1368.9
398,2014-05-31,1368.9
399,2014-06-01,1368.9
