,date,supply,open,close,high,low,market_cap,spread
0,2013-04-28,11086050.0,135.3,134.21,135.98,132.1,1488566728,3.8799999999999955
1,2013-04-29,11086050.0,134.44,144.54,147.49,134.0,1603768865,13.490000000000009
2,2013-04-30,11098475.0,144.0,139.0,146.93,134.05,1542813125,12.879999999999995
3,2013-05-01,11098475.0,139.0,116.99,139.89,107.72,1298954594,32.16999999999999
4,2013-05-02,11098475.0,116.38,105.21,125.6,92.28,1168517495,33.31999999999999
5,2013-05-03,11109275.0,106.25,97.75,108.13,79.1,1085995169,29.03
6,2013-05-04,11109275.0,98.1,112.5,115.0,92.5,1250316563,22.5
7,2013-05-05,11109275.0,112.9,115.91,118.8,107.14,1288693176,11.659999999999997
8,2013-05-06,11121050.0,115.98,112.3,124.66,106.64,1249023060,18.019999999999996
9,2013-05-07,11121050.0,112.25,111.5,113.44,97.7,1240593600,15.739999999999995
10,2013-05-08,11121050.0,109.6,113.57,115.78,109.6,1264049202,6.180000000000007
11,2013-05-09,11133675.0,113.2,112.67,113.46,109.26,1254535382,4.199999999999989
12,2013-05-10,11133675.0,112.8,117.2,122.0,111.55,1305479080,10.450000000000003
13,2013-05-11,11133675.0,117.7,115.24,118.68,113.01,1284207489,5.670000000000002
14,2013-05-12,11146675.0,115.64,115.0,117.45,113.43,1281982625,4.019999999999996
15,2013-05-13,11146675.0,114.82,117.98,118.7,114.5,1315710011,4.200000000000003
16,2013-05-14,11146675.0,117.98,111.5,119.8,110.25,1243874488,9.549999999999997
17,2013-05-15,11158525.0,111.4,114.22,115.81,103.5,1274623813,12.310000000000002
18,2013-05-16,11158525.0,114.22,118.76,118.76,112.2,1325726787,6.560000000000002
19,2013-05-17,11158525.0,118.21,123.01,125.3,116.57,1373723882,8.730000000000004
20,2013-05-18,11169850.0,123.5,123.5,125.25,122.3,1379574546,2.950000000000003
21,2013-05-19,11169850.0,123.21,121.99,124.5,119.57,1363204703,4.930000000000007
22,2013-05-20,11169850.0,122.5,122.0,123.62,120.12,1363709900,3.5
23,2013-05-21,11180875.0,122.02,122.88,123.0,121.21,1374013440,1.7900000000000063
24,2013-05-22,11180875.0,122.89,123.89,124.0,122.0,1385778993,2.0
25,2013-05-23,11180875.0,123.8,126.7,126.93,123.1,1417769833,3.8300000000000125
26,2013-05-24,11193100.0,126.3,133.2,133.85,125.72,1491070770,8.129999999999995
27,2013-05-25,11193100.0,133.1,131.98,133.22,128.9,1477958233,4.319999999999993
28,2013-05-26,11193100.0,131.99,133.48,136.0,130.62,1495293015,5.3799999999999955
29,2013-05-27,11205725.0,133.5,129.74,135.46,124.7,1454029510,10.760000000000005
30,2013-05-28,11205725.0,129.77,129.0,130.58,125.6,1446189975,4.980000000000018
31,2013-05-29,11205725.0,129.0,132.3,132.59,127.66,1483734578,4.930000000000007
32,2013-05-30,11218200.0,132.25,128.8,132.25,127.0,1445053941,5.25
33,2013-05-31,11218200.0,128.8,129.0,129.9,126.4,1447870200,3.5
34,2013-06-01,11218200.0,128.82,129.3,129.78,127.2,1451916165,2.5799999999999983
35,2013-06-02,11232900.0,129.3,122.29,129.4,115.05,1373837500,14.350000000000009
36,2013-06-03,11232900.0,122.5,122.22,122.5,116.0,1373708058,6.5
37,2013-06-04,11232900.0,120.74,121.42,123.84,119.1,1365337545,4.740000000000009
38,2013-06-05,11248425.0,121.4,121.65,123.47,119.9,1368486469,3.569999999999993
39,2013-06-06,11248425.0,121.9,118.0,123.1,117.25,1327960200,5.849999999999994
40,2013-06-07,11248425.0,118.97,111.5,119.0,106.42,1255258638,12.579999999999998
41,2013-06-08,11261100.0,111.0,108.3,111.42,107.3,1219717920,4.1200000000000045
42,2013-06-09,11261100.0,107.89,100.0,108.99,88.5,1126642500,20.489999999999995
43,2013-06-10,11261100.0,100.44,106.35,110.1,95.0,1198638945,15.099999999999994
44,2013-06-11,11274175.0,106.35,108.9,109.6,104.0,1227874725,5.599999999999994
45,2013-06-12,11274175.0,109.0,108.15,111.79,106.73,1219969853,5.060000000000002
46,2013-06-13,11274175.0,108.78,104.0,110.3,100.53,1173637400,9.769999999999996
