date,close,open,high,low,,
"Oct 17, 2019","1,498.30","1,494.20","1,501.10","1,487.00",,
"Oct 16, 2019","1,494.00","1,484.80","1,495.50","1,480.60",,
"Oct 15, 2019","1,483.50","1,497.70","1,503.00","1,480.80",,
"Oct 14, 2019","1,497.60","1,492.00","1,501.50","1,487.10",,
"Oct 11, 2019","1,488.70","1,498.30","1,508.00","1,478.00",,
"Oct 10, 2019","1,500.90","1,510.80","1,522.30","1,495.70",,
"Oct 09, 2019","1,512.80","1,510.90","1,518.00","1,505.10",,
"Oct 08, 2019","1,503.90","1,498.70","1,515.30","1,492.10",,
"Oct 07, 2019","1,504.40","1,518.60","1,518.80","1,493.30",,
"Oct 04, 2019","1,512.90","1,511.60","1,522.20","1,501.40",,
"Oct 03, 2019","1,513.80","1,505.60","1,525.80","1,501.70",,
"Oct 02, 2019","1,507.90","1,485.40","1,511.40","1,480.50",,
"Oct 01, 2019","1,489.00","1,478.00","1,493.50","1,465.00",,
"Sep 30, 2019","1,472.90","1,501.70","1,507.20","1,470.50",,
"Sep 27, 2019","1,506.40","1,511.80","1,519.50","1,493.30",,
"Sep 26, 2019","1,515.20","1,510.90","1,542.80","1,507.10",,
"Sep 25, 2019","1,512.30","1,539.80","1,543.30","1,507.40",,
"Sep 24, 2019","1,540.20","1,529.80","1,543.30","1,517.90",,
"Sep 23, 2019","1,531.50","1,521.50","1,534.40","1,505.30",,
"Sep 20, 2019","1,515.10","1,506.80","1,524.50","1,505.30",,
"Sep 19, 2019","1,506.20","1,502.00","1,512.10","1,496.30",,
"Sep 18, 2019","1,515.80","1,509.70","1,519.50","1,490.70",,
"Sep 17, 2019","1,513.40","1,506.50","1,515.00","1,500.90",,
"Sep 16, 2019","1,511.50","1,513.10","1,519.70","1,503.40",,
"Sep 13, 2019","1,499.50","1,506.50","1,516.60","1,493.10",,
"Sep 12, 2019","1,507.40","1,504.90","1,532.20","1,496.80",,
"Sep 11, 2019","1,503.20","1,493.90","1,506.20","1,492.90",,
"Sep 10, 2019","1,499.20","1,507.00","1,509.10","1,492.10",,
"Sep 09, 2019","1,511.10","1,516.40","1,523.80","1,505.50",,
"Sep 06, 2019","1,515.50","1,525.60","1,536.20","1,510.70",,
"Sep 05, 2019","1,525.50","1,561.40","1,561.90","1,514.30",,
"Sep 04, 2019","1,560.40","1,556.00","1,566.20","1,542.60",,
"Sep 03, 2019","1,555.90","1,535.20","1,558.90","1,528.00",,
"Sep 02, 2019","1,535.15","1,537.95","1,540.05","1,528.15",,
"Sep 01, 2019","1,538.05","1,535.25","1,542.90","1,535.25",,
"Aug 30, 2019","1,529.40","1,536.90","1,541.90","1,525.60",,
"Aug 29, 2019","1,536.90","1,549.40","1,559.80","1,528.60",,
"Aug 28, 2019","1,549.10","1,551.80","1,556.60","1,541.40",,
"Aug 27, 2019","1,551.80","1,537.30","1,554.50","1,535.30",,
"Aug 26, 2019","1,537.20","1,545.40","1,565.00","1,534.80",,
"Aug 23, 2019","1,537.60","1,508.80","1,540.30","1,503.00",,
"Aug 22, 2019","1,508.50","1,512.40","1,514.60","1,502.10",,
"Aug 21, 2019","1,515.70","1,518.40","1,518.40","1,506.50",,
"Aug 20, 2019","1,515.70","1,506.30","1,518.80","1,503.00",,
"Aug 19, 2019","1,511.60","1,523.00","1,523.60","1,503.30",,
"Aug 16, 2019","1,523.60","1,533.90","1,538.60","1,513.90",,
"Aug 15, 2019","1,531.20","1,526.60","1,537.70","1,518.30",,
"Aug 14, 2019","1,527.80","1,513.00","1,534.90","1,504.50",,
"Aug 13, 2019","1,514.10","1,522.30","1,546.10","1,488.90",,
"Aug 12, 2019","1,517.20","1,509.20","1,531.50","1,498.60",,
"Aug 09, 2019","1,508.50","1,515.90","1,521.10","1,506.20",,
"Aug 08, 2019","1,509.50","1,512.10","1,521.30","1,501.60",,
"Aug 07, 2019","1,519.60","1,486.70","1,522.70","1,484.30",,
"Aug 06, 2019","1,484.20","1,481.10","1,486.80","1,468.20",,
"Aug 05, 2019","1,476.50","1,451.20","1,481.80","1,448.80",,
"Aug 02, 2019","1,457.50","1,457.50","1,461.90","1,442.50",,
"Aug 01, 2019","1,432.40","1,425.60","1,458.20","1,412.10",,
"Jul 31, 2019","1,437.80","1,443.70","1,447.80","1,422.30",,
"Jul 30, 2019","1,441.80","1,439.50","1,445.70","1,434.80",,
"Jul 29, 2019","1,433.30","1,431.90","1,440.80","1,427.50",,
"Jul 26, 2019","1,432.20","1,427.40","1,437.60","1,425.60",,
"Jul 25, 2019","1,427.50","1,439.30","1,447.00","1,423.90",,
"Jul 24, 2019","1,436.50","1,431.00","1,442.90","1,429.40",,
"Jul 23, 2019","1,434.50","1,438.40","1,444.00","1,427.50",,
"Jul 22, 2019","1,439.70","1,441.70","1,443.50","1,435.70",,
"Jul 19, 2019","1,439.40","1,460.40","1,467.00","1,434.00",,
"Jul 18, 2019","1,440.80","1,441.00","1,462.30","1,428.10",,
"Jul 17, 2019","1,435.90","1,420.60","1,440.80","1,413.70",,
"Jul 16, 2019","1,423.60","1,428.80","1,432.40","1,415.00",,
"Jul 15, 2019","1,426.10","1,429.00","1,433.90","1,421.90",,
"Jul 12, 2019","1,424.80","1,418.40","1,431.40","1,417.20",,
"Jul 11, 2019","1,419.30","1,433.40","1,441.30","1,415.50",,
"Jul 10, 2019","1,424.90","1,412.20","1,433.30","1,404.40",,
"Jul 09, 2019","1,412.80","1,409.80","1,414.10","1,399.80",,
"Jul 08, 2019","1,412.20","1,412.40","1,421.50","1,406.00",,
"Jul 05, 2019","1,412.10","1,434.10","1,437.50","1,400.70",,
"Jul 04, 2019","1,423.55","1,421.25","1,426.65","1,412.85",,
"Jul 03, 2019","1,432.90","1,435.50","1,452.60","1,426.60",,
"Jul 02, 2019","1,419.80","1,399.50","1,435.00","1,398.80",,
"Jul 01, 2019","1,400.80","1,418.00","1,418.00","1,396.40",,
"Jun 28, 2019","1,425.10","1,424.40","1,439.10","1,420.10",,
"Jun 27, 2019","1,423.40","1,423.60","1,426.00","1,412.70",,
"Jun 26, 2019","1,426.80","1,438.00","1,438.00","1,416.40",,
"Jun 25, 2019","1,430.10","1,433.20","1,453.70","1,427.00",,
"Jun 24, 2019","1,429.50","1,414.70","1,435.90","1,414.70",,
"Jun 21, 2019","1,411.20","1,403.50","1,425.50","1,398.00",,
"Jun 20, 2019","1,408.30","1,375.20","1,408.90","1,373.30",,
"Jun 19, 2019","1,360.10","1,361.40","1,377.60","1,356.50",,
"Jun 18, 2019","1,362.10","1,354.70","1,369.60","1,353.70",,
"Jun 17, 2019","1,354.20","1,357.10","1,358.20","1,348.20",,
"Jun 14, 2019","1,355.90","1,357.60","1,373.60","1,352.80",,
"Jun 13, 2019","1,355.10","1,349.00","1,358.00","1,347.60",,
"Jun 12, 2019","1,348.20","1,342.30","1,353.60","1,341.50",,
"Jun 11, 2019","1,342.70","1,343.50","1,344.70","1,335.10",,
"Jun 10, 2019","1,340.70","1,351.40","1,353.00","1,340.30",,
"Jun 07, 2019","1,357.40","1,351.40","1,363.80","1,345.80",,
"Jun 06, 2019","1,354.00","1,348.00","1,355.30","1,343.50",,
"Jun 05, 2019","1,344.90","1,341.00","1,360.10","1,341.00",,
"Jun 04, 2019","1,340.10","1,340.90","1,345.20","1,336.10",,
"Jun 03, 2019","1,339.30","1,323.10","1,344.10","1,322.70",,
"May 31, 2019","1,322.60","1,304.40","1,323.00","1,304.20",,
"May 30, 2019","1,304.10","1,296.20","1,305.20","1,290.80",,
"May 29, 2019","1,297.90","1,295.90","1,302.00","1,295.90",,
"May 28, 2019","1,294.30","1,301.80","1,304.00","1,292.90",,
"May 27, 2019","1,284.95","1,284.25","1,286.85","1,283.25",,
"May 26, 2019","1,284.15","1,284.20","1,285.15","1,283.65",,
"May 24, 2019","1,301.00","1,300.40","1,302.00","1,297.40",,
"May 23, 2019","1,302.70","1,290.20","1,304.20","1,289.90",,
"May 22, 2019","1,291.40","1,291.20","1,293.70","1,289.20",,
"May 21, 2019","1,290.40","1,293.70","1,293.80","1,286.30",,
"May 20, 2019","1,294.60","1,294.70","1,295.80","1,291.10",,
"May 17, 2019","1,293.00","1,304.10","1,305.90","1,292.00",,
"May 16, 2019","1,303.50","1,314.50","1,316.20","1,301.90",,
"May 15, 2019","1,315.10","1,315.00","1,318.70","1,310.80",,
"May 14, 2019","1,313.60","1,318.70","1,321.70","1,312.00",,
"May 13, 2019","1,319.50","1,306.00","1,319.80","1,300.30",,
"May 10, 2019","1,305.30","1,303.20","1,308.00","1,302.00",,
"May 09, 2019","1,303.20","1,300.50","1,307.00","1,298.60",,
"May 08, 2019","1,299.50","1,303.50","1,310.20","1,298.40",,
"May 07, 2019","1,303.60","1,300.70","1,305.30","1,297.20",,
"May 06, 2019","1,301.80","1,302.00","1,305.00","1,296.30",,
"May 03, 2019","1,299.20","1,289.60","1,301.70","1,288.50",,
"May 02, 2019","1,289.90","1,297.00","1,297.20","1,285.10",,
"May 01, 2019","1,302.20","1,302.30","1,307.00","1,292.90",,
"Apr 30, 2019","1,303.60","1,299.80","1,305.90","1,299.60",,
"Apr 29, 2019","1,299.40","1,306.40","1,306.40","1,298.00",,
"Apr 26, 2019","1,306.80","1,298.00","1,308.70","1,296.90",,
"Apr 25, 2019","1,297.70","1,294.20","1,302.50","1,293.50",,
"Apr 24, 2019","1,297.40","1,290.30","1,298.40","1,289.10",,
"Apr 23, 2019","1,291.20","1,295.20","1,296.20","1,286.00",,
"Apr 22, 2019","1,295.80","1,295.80","1,299.50","1,294.10",,
"Apr 19, 2019","1,277.90","1,277.90","1,277.90","1,277.90",,
"Apr 18, 2019","1,294.10","1,293.70","1,296.90","1,291.00",,
"Apr 17, 2019","1,294.70","1,297.40","1,299.60","1,293.50",,
"Apr 16, 2019","1,295.20","1,309.50","1,309.50","1,293.90",,
"Apr 15, 2019","1,309.40","1,312.30","1,312.30","1,303.60",,
"Apr 12, 2019","1,313.40","1,314.20","1,316.90","1,312.10",,
"Apr 11, 2019","1,311.30","1,329.20","1,329.20","1,311.00",,
"Apr 10, 2019","1,331.90","1,326.50","1,332.20","1,322.80",,
"Apr 09, 2019","1,326.30","1,320.00","1,328.30","1,320.00",,
"Apr 08, 2019","1,319.90","1,313.70","1,325.40","1,313.70",,
"Apr 05, 2019","1,313.70","1,315.00","1,315.00","1,306.60",,
"Apr 04, 2019","1,312.20","1,313.10","1,316.40","1,302.80",,
"Apr 03, 2019","1,313.30","1,314.00","1,316.60","1,310.60",,
