date,S&P500_bond_us,S&P1200_equity_global,S&P500_equity_us
29/04/2013,376.35,1640.11,1593.609985
30/04/2013,376.27,1647.08,1597.569946
1/05/2013,377.17,1637.75,1582.699951
2/05/2013,377.47,1641,1597.589966
3/05/2013,375.17,1655.81,1614.420044
6/05/2013,374.9,1655.76,1617.5
7/05/2013,374.93,1666.8,1625.959961
8/05/2013,375.43,1678.32,1632.689941
9/05/2013,375.12,1666.27,1626.670044
10/05/2013,373.27,1670.82,1633.699951
13/05/2013,372.94,1670.67,1633.77002
14/05/2013,372.33,1679.11,1650.339966
15/05/2013,372.56,1687.66,1658.780029
16/05/2013,374.2,1681.63,1650.469971
17/05/2013,372.58,1688.71,1667.469971
20/05/2013,372.5,1696.84,1666.290039
21/05/2013,372.95,1698.74,1669.160034
22/05/2013,371.59,1690.29,1655.349976
23/05/2013,371.65,1669.48,1650.51001
24/05/2013,371.95,1667.02,1649.599976
27/05/2013,371.66,1663.96,1660.060059
28/05/2013,369.69,1672.88,1648.359985
29/05/2013,369.52,1663.72,1654.410034
30/05/2013,369.16,1667.1,1630.73999
31/05/2013,368.08,1646.54,1640.420044
3/06/2013,368.35,1648.38,1631.380005
4/06/2013,367.69,1647.71,1608.900024
5/06/2013,367.42,1622.37,1622.560059
6/06/2013,367.75,1630.49,1643.380005
7/06/2013,366.18,1642.1,1642.810059
10/06/2013,365.29,1646.67,1626.130005
11/06/2013,365.22,1635.65,1612.52002
12/06/2013,364.33,1624.97,1636.359985
13/06/2013,365.17,1633.8,1626.72998
14/06/2013,366.41,1632.3,1639.040039
17/06/2013,365.65,1646.37,1651.810059
18/06/2013,365.48,1652.84,1628.930054
19/06/2013,362.93,1633.51,1588.189941
20/06/2013,359.42,1587.42,1592.430054
21/06/2013,357.93,1582.38,1573.089966
24/06/2013,356.42,1560.64,1588.030029
25/06/2013,355.4,1573.13,1603.26001
26/06/2013,356.61,1586.35,1613.199951
27/06/2013,357.87,1601.69,1606.280029
28/06/2013,358.8,1598.9,1614.959961
1/07/2013,359.17,1609.48,1614.079956
2/07/2013,359.84,1606.24,1615.410034
3/07/2013,359.34,1603.02,1631.890015
4/07/2013,359.13,1611.32,1640.459961
5/07/2013,355.57,1611.6,1652.319946
8/07/2013,357.22,1621.26,1652.619995
9/07/2013,357.89,1633.61,1675.02002
10/07/2013,357.37,1638.25,1680.189941
11/07/2013,359.69,1667.3,1682.5
12/07/2013,359.35,1666.99,1676.26001
15/07/2013,360.45,1670.68,1680.910034
16/07/2013,361.21,1670.7,1689.369995
17/07/2013,362.09,1674.89,1692.089966
