date,monthly_return,,,
Oct 19,5.88%,,,
Sep-19,11.27%,,,
Aug-19,-25.31%,,,
Jul-19,0.00%,,,
Jun-19,-5.91%,,,
May-19,-14.82%,,,
Apr-19,4.03%,,,
Mar-19,-11.41%,,,
Feb-19,3.19%,,,
Jan-19,-1.97%,,,
Dec-18,-10.26%,,,
Nov-18,-4.95%,,,
Oct-18,2.74%,,,
Sep-18,7.17%,,,
Aug-18,-3.44%,,,
Jul-18,3.57%,,,
Jun-18,0.00%,,,
May-18,-3.21%,,,
Apr-18,7.81%,,,
Mar-18,-4.29%,,,
Feb-18,5.60%,,,
Jan-18,12.77%,,,
Dec-17,-0.41%,,,
Nov-17,1.60%,,,
Oct-17,1.62%,,,
Sep-17,10.33%,,,
Aug-17,-7.67%,,,
Jul-17,-0.35%,,,
Jun-17,4.44%,,,
May-17,-3.63%,,,
Apr-17,-4.19%,,,
Mar-17,-0.33%,,,
Feb-17,-2.80%,,,
Jan-17,0.82%,,,
Dec-16,2.34%,,,
Nov-16,30.96%,,,
Oct-16,14.21%,,,
Sep-16,1.27%,,,
Aug-16,8.83%,,,
Jul-16,-1.69%,,,
Jun-16,-20.31%,,,
May-16,0.87%,,,
Apr-16,3.67%,,,
Mar-16,1.84%,,,
Feb-16,-9.62%,,,
Jan-16,-15.25%,,,
Dec-15,2.76%,,,
Nov-15,2.89%,,,
Oct-15,5.45%,,,
Sep-15,-8.08%,,,
Aug-15,1.23%,,,
Jul-15,-6.90%,,,
Jun-15,10.65%,,,
May-15,4.32%,,,
Apr-15,5.60%,,,
Mar-15,-3.46%,,,
Feb-15,21.78%,,,
Jan-15,-24.47%,,,
Dec-14,-0.14%,,,
Nov-14,-6.94%,,,
Oct-14,-6.41%,,,
Sep-14,6.40%,,,
Aug-14,-8.47%,,,
Jul-14,1.18%,,,
Jun-14,2.30%,,,
May-14,-6.46%,,,
Apr-14,-2.68%,,,
Mar-14,2.64%,,,
Feb-14,0.19%,,,
Jan-14,-12.62%,,,
Dec-13,10.20%,,,
Nov-13,7.60%,,,
Oct-13,-2.41%,,,
Sep-13,-6.24%,,,
Aug-13,7.77%,,,
Jul-13,4.06%,,,
Jun-13,16.65%,,,
May-13,27.44%,,,
,,,,
,,,,
,,,,
